sample_number,sample_date,sample_time,sample_site,sample_class,residual_free_chlorine_mg_l,turbidity_ntu,coliform_quanti_tray_mpn_100ml,e_coli_quanti_tray_mpn_100ml,fluoride_mg_l
202426025,2024-10-01T00:00:00.000,08:36:00.000,10750,Compliance,0.84,0.47,0,0,0.71
202426264,2024-10-03T00:00:00.000,09:02:00.000,1S03,Operational,0.81,0.54,0,0,0.73
202426278,2024-10-03T00:00:00.000,08:51:00.000,20900,Operational,0.45,0.47,0,0,
202426208,2024-10-02T00:00:00.000,10:49:00.000,29550,Compliance,0.75,0.61,0,0,
202426299,2024-10-03T00:00:00.000,08:45:00.000,18000,Operational,0.57,0.28,0,0,
202426279,2024-10-03T00:00:00.000,08:17:00.000,21150,Compliance,0.41,0.41,0,0,
202426296,2024-10-03T00:00:00.000,10:48:00.000,10850,Compliance,0.35,0.24,0,0,
202426298,2024-10-03T00:00:00.000,08:20:00.000,13350,Compliance,0.94,0.63,0,0,
202426269,2024-10-03T00:00:00.000,08:18:00.000,17750,Compliance,0.86,0.77,0,0,
202426173,2024-10-02T00:00:00.000,11:36:00.000,21100,Operational,0.51,0.52,0,0,
202426297,2024-10-03T00:00:00.000,09:04:00.000,13050,Compliance,0.29,0.14,0,0,
202426301,2024-10-03T00:00:00.000,10:02:00.000,1S03B,Operational,0.57,0.18,0,0,0.61
202426270,2024-10-03T00:00:00.000,09:15:00.000,1S07,Operational,0.64,0.66,0,0,
202426284,2024-10-03T00:00:00.000,10:49:00.000,20050,Compliance,0.47,0.52,0,0,
202426209,2024-10-02T00:00:00.000,09:47:00.000,50200,Operational,0.8,0.78,0,0,
202426265,2024-10-03T00:00:00.000,09:39:00.000,1SCH3,Operational,0.7,0.1,0,0,0.69
202426267,2024-10-03T00:00:00.000,09:50:00.000,1SCL1,Operational,0.83,0.11,0,0,0.65
202426211,2024-10-02T00:00:00.000,10:06:00.000,50650,Compliance,0.58,0.54,0,0,
202426286,2024-10-03T00:00:00.000,09:38:00.000,24300,Operational,0.56,0.66,0,0,
202426287,2024-10-03T00:00:00.000,08:26:00.000,29350,Compliance,0.36,0.41,0,0,
202426210,2024-10-02T00:00:00.000,09:26:00.000,50300,Operational,0.89,0.57,0,0,
202426285,2024-10-03T00:00:00.000,10:17:00.000,23550,Compliance,0.56,0.49,0,0,
202426205,2024-10-02T00:00:00.000,08:06:00.000,44750,Compliance,0.72,0.58,0,0,
202426281,2024-10-03T00:00:00.000,10:07:00.000,27000,Operational,0.68,0.64,0,0,
202426300,2024-10-03T00:00:00.000,09:33:00.000,1S03A,Operational,0.82,0.57,0,0,0.74
202426260,2024-10-03T00:00:00.000,09:54:00.000,33700,Operational,1.62,0.32,0,0,
202426261,2024-10-03T00:00:00.000,11:16:00.000,34650,Compliance,0.19,0.39,0,0,
202426271,2024-10-03T00:00:00.000,10:45:00.000,35350,Compliance,0.37,0.32,0,0,
202426288,2024-10-03T00:00:00.000,09:02:00.000,29500,Operational,0.71,0.56,0,0,
202426272,2024-10-03T00:00:00.000,10:15:00.000,38300,Operational,0.61,0.34,0,0,
202426289,2024-10-03T00:00:00.000,11:21:00.000,29850,Compliance,0.59,0.53,0,0,
202426223,2024-10-02T00:00:00.000,09:59:00.000,3SC26,Operational,0.52,0.17,0,0,
202426258,2024-10-03T00:00:00.000,11:39:00.000,32150,Compliance,0.65,0.34,0,0,
202426282,2024-10-03T00:00:00.000,11:32:00.000,40150,Compliance,0.22,0.53,0,0,
202426292,2024-10-03T00:00:00.000,10:31:00.000,40200,Operational,0.82,0.59,0,0,
202426302,2024-10-03T00:00:00.000,11:37:00.000,42300,Operational,0.81,0.62,0,0,
202426293,2024-10-03T00:00:00.000,11:24:00.000,43650,Compliance,0.53,0.55,0,0,
202426294,2024-10-03T00:00:00.000,08:16:00.000,44350,Compliance,0.47,0.57,0,0,
202426303,2024-10-03T00:00:00.000,10:55:00.000,44950,Compliance,0.58,0.51,0,0,
